         19298 function calls (18826 primitive calls) in 0.042 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     18/3    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py:452(_parse_sub)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     45/3    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py:512(_parse)
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/_strptime.py:261(compile)
        1    0.000    0.000    0.001    0.001 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/pyarrow/parquet/core.py:1875(write_table)
      118    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:988(format)
       59    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1266(emit)
      118    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:690(format)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
       15    0.000    0.000    0.000    0.000 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/pyarrow/pandas_compat.py:588(convert_column)
  893/768    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/pandas/core/dtypes/missing.py:101(isna)
        1    0.000    0.000    0.000    0.000 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/pandas/core/dtypes/missing.py:184(_isna)
        1    0.000    0.000    0.000    0.000 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/pandas/core/dtypes/missing.py:261(_isna_array)
        1    0.000    0.000    0.000    0.000 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/pyarrow/parquet/core.py:1092(write_table)
        1    0.000    0.000    0.000    0.000 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/numpy/__init__.py:323(__getattr__)
       59    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1645(makeRecord)
        1    0.000    0.000    0.000    0.000 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/pyarrow/pandas_compat.py:924(_reconstruct_index)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_compiler.py:573(_code)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
