         161960 function calls (161273 primitive calls) in 37.307 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.001    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/utils.py:204(get_netrc_auth)
      102    0.001    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/response.py:858(_raw_read)
      102    0.001    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/util/url.py:369(parse_url)
       51    0.000    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connectionpool.py:982(__init__)
       51    0.000    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1027(send)
       51    0.001    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connectionpool.py:177(__init__)
10559/10355    0.004    0.000    0.007    0.000 {built-in method builtins.isinstance}
       51    0.001    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1200(sendall)
        1    0.004    0.004    0.007    0.007 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pyarrow/parquet/core.py:968(__init__)
       51    0.007    0.000    0.007    0.000 {built-in method today}
       51    0.000    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connection.py:288(putrequest)
       51    0.001    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/sessions.py:390(__init__)
       51    0.000    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1173(send)
      102    0.001    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/cookies.py:124(extract_cookies_to_jar)
       51    0.006    0.000    0.006    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      511    0.003    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/parse.py:374(urlparse)
       51    0.001    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/_collections.py:242(__init__)
      306    0.001    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/structures.py:40(__init__)
      255    0.001    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connection.py:308(putheader)
       51    0.002    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/feedparser.py:469(_parse_headers)
       11    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
     4386    0.001    0.000    0.006    0.000 <frozen _collections_abc>:868(__iter__)
       51    0.002    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1136(putrequest)
       51    0.000    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:496(_real_close)
      408    0.002    0.000    0.005    0.000 <frozen _collections_abc>:974(update)
       51    0.005    0.000    0.005    0.000 {function socket.close at 0x104c88d60}
       15    0.005    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pyarrow/pandas_compat.py:588(convert_column)
      357    0.001    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/sessions.py:61(merge_setting)
        1    0.000    0.000    0.005    0.005 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/internals/construction.py:506(nested_data_to_arrays)
      612    0.002    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/queue.py:154(get)
